"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"99","Big Creek CDP",2002,0.46,20,20,0,0,0,0,0,0,0,20,0,1222,1222,0,0,0,0,0,0,0,1222,0,0.528,0.543028544369446,0.107,0.107,0.00899999999999999,0.0277014155062991,74155,47938,99
"100","Big Lagoon CDP",2002,0.599,1,1,0,0,0,0,1,0,0,0,1,1000,1000,0,0,0,0,1000,0,0,0,1000,-0.64,NA,-0.76,-0.76,0.12,NA,62635,31997,100
"101","Big Pine CDP",2002,2.954,4,4,0,0,0,0,0,0,0,4,0,514,514,0,0,0,0,0,0,0,514,0,-0.8625,0.205,-0.2675,-0.2675,-0.025,0.0499999999999999,81390,36032,101
"102","Big River CDP",2002,10.827,17,7,10,1,0,0,9,2,0,6,0.529411764705882,48559,2559,46000,0,500,0,45000,1050,0,2059,42000,0.263529411764706,0.40129386327962,-0.164117647058824,-0.164117647058824,0.427647058823529,0.528210770097561,53452,28704,102
"103","Biggs city",2002,0.636,5,1,2,0,0,0,0,4,0,1,0.8,2100,100,1000,0,0,0,0,2000,0,100,1600,0.694,0.391637587573001,0.68,0.68,0.014,0.0541294744108974,103758,55803,103
"104","Biola CDP",2002,0.647,12,6,5,3,0,0,1,6,0,5,0.333333333333333,6210,2310,3600,0,30,0,2000,1680,0,2530,1180,0.664166666666667,0.501297558765493,0.640833333333333,0.640833333333333,-0.0641666666666667,0.43602456839314,95966,59314,104
"105","Bishop city",2002,1.864,76,74,0,4,0,0,3,17,0,57,0.223684210526316,12899.36,9649.36,0,0,600,0,350,7111.45,0,5627.91,6971.45,-0.150789473684211,1.13887050848098,0.346710526315789,0.346710526315789,-0.237894736842105,0.662154696506234,93986,39553,105
"106","Black Point-Green Point CDP",2002,2.687,45,44,1,0,0,0,13,11,0,22,0.244444444444444,10354,10254,100,0,0,0,2732,1345,0,7034,570,-0.362444444444444,1.05342332757098,-0.0206666666666667,-0.0206666666666667,-0.171111111111111,0.406583449011517,54223,21625,106
"107","Blackhawk CDP",2002,5.801,930,859,34,158,9,3,132,215,0,576,0.231182795698925,451653.27,336293.27,55475,7000,43035.82,6250,125412.8,147080.12,0,181053.15,116762,0.0944731182795699,0.890815105407111,0.111010752688172,0.111010752688172,-0.00594623655913979,0.340115248801026,169825,66644,107
"108","Blacklake CDP",2002,1.045,9,9,0,1,0,0,0,2,0,4,0.222222222222222,1045,1045,0,0,250,0,0,435,0,550,435,-0.0377777777777778,0.967636008240932,0.173333333333333,0.173333333333333,-0.0166666666666667,0.025,169943,106453,108
"109","Blairsden CDP",2002,0.542,9,8,0,1,0,0,0,5,0,6,0.111111111111111,1560,1260,0,0,50,0,0,600,0,1310,100,0.725555555555556,0.791345548908805,0.662222222222222,0.662222222222222,0.0633333333333334,0.120623380818148,5885,4008,109
"110","Bloomington CDP",2002,5.987,371,227,6,108,0,0,5,5,0,365,0.0134770889487871,51094.09,14925.38,3434.51,0,3256,0,1807,4180,0,45944.09,2150,-0.493099730458221,0.75078901795805,-0.280377358490566,-0.280377358490566,-0.0549595687331536,0.171707438123223,308947,120910,110
"111","Blue Lake city",2002,0.592,75,53,7,0,0,0,38,9,0,36,0.453333333333333,69263.12,8243,50815.28,0,0,0,63425.9,850,0,62774.18,30668.94,-0.524133333333333,0.798887898189648,-0.414,-0.414,-0.101733333333333,0.203525503636843,133374,62222,111
"112","Bluewater CDP",2002,0.892,4,3,0,1,0,0,0,1,0,3,0,2600,1600,0,0,1000,0,0,1000,0,1600,0,0.8225,0.445,1.09,1.09,-0.2675,0.249048188108245,53452,28704,112
"113","Blythe city",2002,26.189,48,9,1,0,0,0,1,3,0,44,0.0833333333333333,3294.5,2950,100,0,0,0,100,700,0,2494.5,1050,-0.343125,0.767973725863731,-0.212083333333333,-0.212083333333333,-0.066875,0.217452917378902,508343,210738,113
"114","Bodega Bay CDP",2002,8.345,9,9,0,0,0,0,7,1,0,1,0.333333333333333,3530,3530,0,0,0,0,1280,2000,0,250,2300,-0.71,0.730051368055701,-0.33,-0.33,-0.38,0.317608249263145,153628,56557,114
"115","Bodega CDP",2002,2.902,8,6,2,1,0,0,2,2,0,4,0.125,5133,3133,2000,0,1000,0,1100,2000,0,2033,100,-0.635,0.617784058435585,-0.52625,-0.52625,-0.10875,0.493629053902972,70391,27755,115
"116","Bodfish CDP",2002,7.971,5,2,3,0,0,0,2,3,0,3,0.4,1270.02,1020.02,250,0,0,0,1020.02,250,0,250,1020.02,0.434,0.912786941186168,0.404,0.404,0.03,0.0547722557505166,227532,137260,116
"117","Bolinas CDP",2002,5.826,36,35,0,10,2,0,20,2,1,13,0.166666666666667,11535.12,11435.12,0,100,2550.12,0,5385.12,750,300,4300,1600,-1.04361111111111,0.521202745183965,-0.693611111111111,-0.693611111111111,-0.134166666666667,0.304221488862497,59048,30732,117
"118","Bonadelle Ranchos-Madera Ranchos CDP",2002,11.585,34,32,0,4,0,0,9,9,0,18,0.205882352941176,2864.63,1952.63,0,0,460,0,770,1572,0,672.63,1232,-0.172058823529412,0.804388641978508,-0.005,-0.005,-0.0241176470588235,0.104188571671864,537205,360839,118
"119","Bonita CDP",2002,4.996,363,333,2,63,3,0,86,123,9,179,0.34435261707989,122690.65,95852.15,5100,1600,9299,0,50502.5,38815,4550,42133.65,47807,0.430578512396694,0.908167024262,0.406914600550964,0.406914600550964,-0.0214876033057851,0.419053777236362,358737,130800,119
"120","Bonny Doon CDP",2002,16.688,38,36,0,0,0,0,23,6,0,10,0.605263157894737,15855,15605,0,0,0,0,3340,8730,0,6240,3740,-0.524736842105263,1.17465057907886,-0.339210526315789,-0.339210526315789,-0.185526315789474,0.25697509994446,552026,329489,120
"121","Bonsall CDP",2002,13.395,131,106,9,12,0,0,14,57,0,71,0.358778625954198,300438.85,262228.85,12000,0,2715,0,235203.7,17625,0,51705.15,141506.85,0.440916030534351,0.884167100793543,0.498625954198473,0.498625954198473,-0.0446564885496183,0.384816235284251,66964,29470,121
"122","Boonville CDP",2002,5.542,3,3,0,0,0,0,3,0,0,1,0,2120,2120,0,0,0,0,2120,0,0,1000,0,-0.75,0.121243556529821,-0.98,-0.98,0.23,0.259807621135332,56930,36168,122
"123","Bootjack CDP",2002,7.001,8,8,0,0,0,0,0,0,0,8,0,251,251,0,0,0,0,0,0,0,251,0,-0.01625,0.703540789760724,-0.01,-0.01,-0.00624999999999998,0.0468851179556401,96821,58032,123
"124","Boron CDP",2002,13.8,16,16,0,0,0,0,1,4,0,8,0.125,7703.67,7703.67,0,0,0,0,1,3500,0,1201.67,1001,1.665625,1.65470226425582,0.31125,0.31125,0.311875,0.658940753533022,56320,31737,124
"125","Boronda CDP",2002,0.55,3,2,1,0,0,0,0,0,0,3,0,109,10,99,0,0,0,0,0,0,109,0,0.34,0.588897274573418,0.326666666666667,0.326666666666667,0.0133333333333333,0.0230940107675851,30028,15196,125
"126","Borrego Springs CDP",2002,43.071,32,28,2,0,0,0,11,2,0,22,0.125,47480.25,5480.25,2000,0,0,0,1145.25,350,0,46025.25,580,-0.2975,1.17913855926074,-0.1071875,-0.1071875,-0.1140625,0.259712736778852,81491,36749,126
"127","Bostonia CDP",2002,1.929,43,42,1,2,0,0,8,13,0,23,0.302325581395349,15325,13825,1500,0,35,0,3925,4995,0,6555,5345,0.32046511627907,0.82087048305115,0.24953488372093,0.24953488372093,0.0467441860465116,0.130543204492623,209653,68698,127
"128","Boulder Creek CDP",2002,7.512,60,55,1,15,0,0,13,14,0,37,0.266666666666667,17754.4,15603.4,1000,0,4810.4,0,4770,3209,0,10055.4,3031,-0.161833333333333,0.877783208760524,0.0588333333333333,0.0588333333333333,-0.0271666666666667,0.271930273133257,1419451,839597,128
"129","Boulevard CDP",2002,3.904,1,0,0,0,0,0,0,0,0,1,0,300,0,0,0,0,0,0,0,0,300,0,1.12,NA,1.07,1.07,0.05,NA,146103,58776,129
"130","Bowles CDP",2002,0.381,25,2,14,0,0,0,5,16,0,5,0.56,30800,750,22050,0,0,0,7000,17600,0,9200,18650,0.5968,0.218302542358077,0.5688,0.5688,0.028,0.792779919019144,178373,87028,130
"131","Boyes Hot Springs CDP",2002,1.059,75,59,0,26,0,0,8,12,0,63,0.106666666666667,15841.31,15092.2,0,0,10251.2,0,1480,1271,0,14006.31,1594,-0.2252,0.825183615930418,0.0352,0.0352,0.0114666666666667,0.187434264753283,147440,50245,131
"132","Bradbury city",2002,1.957,75,75,0,18,0,0,17,30,0,27,0.36,131658.96,131658.96,0,0,5824.96,0,7175,65130,0,59103.96,61505,0.319066666666667,0.811914942511759,0.4836,0.4836,-0.155733333333333,0.442279639232103,23457,10219,132
"133","Brawley city",2002,7.682,199,177,11,14,0,0,56,95,0,53,0.462311557788945,77969.32,66319.32,7300,0,6837,0,32570,33059.16,0,12514.16,37458,0.308743718592965,0.636736415065882,0.318592964824121,0.318592964824121,-0.00959798994974874,0.559893423476741,170736,67483,133
"134","Brea city",2002,12.078,1251,929,135,61,0,0,119,375,11,796,0.294164668265388,442746.92,162142.79,79319.18,0,5556.63,0,83736.43,221135.74,3350,181513.4,187756.46,0.177178257394085,0.737670028806158,0.200455635491607,0.200455635491607,-0.00320543565147882,0.301247069632933,529399,215508,134
"135","Brentwood city",2002,14.786,570,537,13,22,0,0,24,50,0,499,0.0982456140350877,103625.76,78219.76,17400,0,25877.5,0,13630,64203.78,0,23376.98,25617,-0.136421052631579,0.668006896909564,-0.0106315789473684,-0.0106315789473684,-0.0153859649122807,0.221490259668008,349196,143720,135
"136","Bridgeport CDP",2002,21.74,6,5,0,0,0,0,0,1,0,5,0.333333333333333,1038.5,950,0,0,0,0,0,150,0,888.5,238.5,0.786666666666667,0.828001610304392,0.71,0.71,0.0766666666666666,0.0884684501201793,48765,32133,136
"137","Brisbane city",2002,3.096,185,120,50,9,0,0,44,14,1,81,0.308108108108108,81401.05,52563.5,16179.67,0,7700,0,30795.5,15041.88,500,21679.17,24785.8,-0.484324324324324,0.758964327728127,-0.308702702702703,-0.308702702702703,-0.0886486486486486,0.360114430501236,43824,18480,137
"138","Broadmoor CDP",2002,0.45,35,34,0,0,0,0,11,4,0,25,0.2,5955,5755,0,0,0,0,2740,1120,0,3135,1800,-0.402571428571429,0.973795916706862,-0.387142857142857,-0.387142857142857,-0.002,0.250021175573778,37915,11944,138
"139","Brookdale CDP",2002,3.847,54,49,0,18,0,0,27,5,0,30,0.296296296296296,10196.5,7837.5,0,0,2105,0,3955,2750,0,5516.5,3700,-0.456851851851852,1.0060024083284,-0.414074074074074,-0.414074074074074,-0.0427777777777778,0.339107689616784,890190,523989,139
"140","Brooktrails CDP",2002,7.272,16,16,0,1,0,0,7,7,0,4,0.25,6174.98,6174.98,0,0,50,0,535,5489.98,0,225,310,-0.41375,1.06471201114041,-0.111875,-0.111875,-0.2525,0.573416660611345,288237,161875,140
"141","Buckhorn CDP",2002,5.871,5,5,0,0,0,0,1,1,0,2,0.6,655,655,0,0,0,0,150,100,0,205,450,0.676,1.34583802888758,0.66,0.66,0.0159999999999999,0.0680441033448159,132061,95002,141
"142","Buellton city",2002,1.582,8,4,0,2,0,0,1,1,0,6,0.125,3811.4,3685,0,0,3600,0,50,1800,0,1961.4,1800,-0.4125,1.46128857030851,-0.29375,-0.29375,-0.11875,0.346263215322844,199351,133759,142
"143","Buena Park city",2002,10.524,810,541,42,63,0,0,195,78,2,565,0.31358024691358,427361.8,73015.77,16070.52,0,5113.66,0,298886.21,31134,750,171320.59,223539.21,-0.219728395061728,0.80909610956937,-0.117962962962963,-0.117962962962963,-0.0541111111111111,0.302979048911157,588509,206746,143
"144","Buena Vista CDP",2002,1.622,2,2,0,0,0,0,0,1,0,1,0.5,250,250,0,0,0,0,0,200,0,50,200,0.5,1.08894444302728,0.58,0.58,-0.08,0.127279220613579,67576,42893,144
"145","Burbank CDP",2002,0.403,43,43,0,3,0,0,7,5,0,31,0.27906976744186,2942,2942,0,0,183,0,1010,635,0,1297,927,-0.609302325581395,0.988934961867557,-0.299767441860465,-0.299767441860465,-0.0772093023255814,0.219201207649994,194316,88526,145
"146","Burbank city",2002,17.341,4525,1700,478,214,8,0,1479,1088,34,2333,0.318232044198895,22150039.66,1790390.72,728553.95,2000,128740.94,0,8563928.48,8995248.69,367200,10056080.86,8239268.14,-0.0785237569060774,0.814802913835231,0.0162563535911602,0.0162563535911602,-0.0832795580110497,0.405498495583185,1132698,415431,146
"147","Burlingame city",2002,4.406,1725,724,130,62,0,0,917,179,16,643,0.411014492753623,21231396.7,1417256.32,131073.33,0,106010.5,0,5051424.11,766336.42,448050,16868908.57,2811085.57,-0.595721739130435,0.603742786093808,-0.4028,-0.4028,-0.131866666666667,0.460614054320855,242050,93307,147
"148","Burney CDP",2002,5.196,3,1,0,0,0,0,0,2,0,0,0,770,500,0,0,0,0,0,270,0,0,0,0.683333333333333,0.580545720278199,0.813333333333333,0.813333333333333,-0.13,0.625539766921336,92414,52356,148
"149","Butte Creek Canyon CDP",2002,20.472,35,35,0,1,0,0,7,20,0,8,0.457142857142857,426025,426025,0,0,100,0,1450,413475,0,11100,13275,0.108857142857143,1.0242465564518,0.286571428571429,0.286571428571429,-0.0314285714285714,0.390325225309107,369812,218281,149
"150","Butte Valley CDP",2002,18.29,2,2,0,0,0,0,0,1,0,1,0.5,450,450,0,0,0,0,0,200,0,250,200,0.27,0.381837661840736,0.29,0.29,-0.02,0.0282842712474618,125909,74376,150
"151","Buttonwillow CDP",2002,6.927,14,7,0,0,0,0,4,1,0,9,0.142857142857143,3750.2,1890,0,0,0,0,900,250,0,2600.2,350,-0.035,0.725828439148621,-0.17,-0.17,0.135,0.496801306823501,18062,9957,151
"152","Byron CDP",2002,6.487,46,28,13,2,0,0,4,6,0,35,0.0652173913043478,8163.02,1158.87,5408.85,0,280,0,3050,1230,0,3633.02,2050,-0.236521739130435,0.630725217124628,-0.232608695652174,-0.232608695652174,-0.00391304347826084,0.20861957147848,23474,8332,152
"153","Bystrom CDP",2002,0.707,12,9,2,0,0,0,0,4,0,8,0.333333333333333,1365,1040,200,0,0,0,0,1325,0,40,1325,0.314166666666667,0.470385882853513,0.32,0.32,-0.00583333333333334,0.0382475984589724,35002,7587,153
"154","Cabazon CDP",2002,4.868,31,2,20,0,0,1,9,8,0,16,0.258064516129032,185764,750,179500,0,0,300,16500,13750,0,159514,37800,0.0341935483870968,0.60185144453621,-0.0829032258064516,-0.0829032258064516,0.082258064516129,0.393841843700568,69833,27018,154
"155","Calabasas city",2002,12.901,1539,1351,75,121,2,1,307,156,15,1070,0.210526315789474,809489.19,523777.82,153418.5,350,51035.4,500,445878.56,111195,8900,293456.63,357104,-0.152910981156595,0.720217492979747,-0.115321637426901,-0.115321637426901,-0.0324431448992852,0.281407171110921,331352,140002,155
"156","Calexico city",2002,8.391,56,53,0,0,0,0,10,2,0,44,0.178571428571429,7770,7270,0,0,0,0,2900,2000,0,2870,3850,-0.943392857142857,0.943458390055563,-0.407857142857143,-0.407857142857143,-0.2275,0.396669085808768,220016,63338,156
"157","California City city",2002,203.523,29,26,0,4,0,0,1,13,1,13,0.103448275862069,2280,1855,0,0,400,0,250,1200,100,680,450,0.717241379310345,0.764964502219006,0.719310344827586,0.719310344827586,0.0175862068965517,0.479312418041375,359555,189862,157
"158","Calimesa city",2002,14.847,81,57,5,4,0,0,5,8,0,69,0.148148148148148,8000.78,3251.28,1092,0,645,0,495,3278.76,0,4327.02,2355.46,-0.495802469135802,0.78847616355463,-0.354320987654321,-0.354320987654321,-0.022962962962963,0.213069498312431,171932,99645,158
"159","Calipatria city",2002,3.716,1,1,0,0,0,0,0,1,0,0,0,400,400,0,0,0,0,0,400,0,0,0,0.81,NA,0.99,0.99,-0.18,NA,71047,24917,159
"160","Calistoga city",2002,2.595,117,77,12,3,0,0,50,13,0,61,0.230769230769231,27707.74,16950.25,1528.47,0,300,0,13174,2679,0,12749.74,6892,-0.196581196581197,0.850423994042609,-0.0494871794871795,-0.0494871794871795,-0.147094017094017,0.4600282222022,36659,17689,160
"161","Callender CDP",2002,2.286,4,4,0,0,0,0,0,0,2,2,0,221,221,0,0,0,0,0,0,200,21,0,0.4375,0.512404462639947,-0.31,-0.31,0.7475,0.867385919492202,169943,106453,161
"162","Calpella CDP",2002,2.537,1,1,0,0,0,0,0,1,0,0,1,100,100,0,0,0,0,0,100,0,0,100,1.06,NA,1.01,1.01,0.05,NA,75795,34168,162
"163","Calwa CDP",2002,0.624,1,1,0,0,0,0,1,0,0,0,1,573,573,0,0,0,0,573,0,0,0,573,-1.04,NA,-1.19,-1.19,0.15,NA,51505,13808,163
"164","Camanche North Shore CDP",2002,2.306,1,1,0,0,0,0,0,1,0,1,0,150,150,0,0,0,0,0,150,0,150,0,1.1,NA,1.06,1.06,0.04,NA,67576,42893,164
"165","Camanche Village CDP",2002,5.437,5,5,0,2,0,0,0,1,0,4,0.2,1166.85,1166.85,0,0,800,0,0,250,0,916.85,250,0.654,0.628354995205736,0.148,0.148,0.00600000000000001,0.0134164078649987,67576,42893,165
"166","Camarillo city",2002,19.528,1526,1278,40,164,8,1,169,517,47,816,0.287024901703801,1082506.37,502164.64,15369.16,2200,110566,500,171168.35,260888.49,10824.23,639751.57,288023.73,0.208374836173001,0.949432468819313,0.243132372214941,0.243132372214941,-0.0133355176933159,0.362184919904901,1281781,481337,166
"167","Cambria CDP",2002,8.508,162,161,0,4,0,0,55,17,17,85,0.314814814814815,16216.85,16056.85,0,0,550,0,4227.85,3410,3060,2951.85,8178,-0.741851851851852,0.820339440592478,-0.547839506172839,-0.547839506172839,-0.162407407407407,0.310282991560321,416852,303003,167
"168","Cambrian Park CDP",2002,0.596,245,200,4,33,0,0,24,39,2,196,0.2,56836.76,26439.88,9400,0,6567,0,13888,8556,650,37368.76,8750.5,0.142,0.830802298393783,0.0966530612244898,0.0966530612244898,-0.00844897959183673,0.28202873510909,172025,96387,168
"169","Cameron Park CDP",2002,11.107,451,423,10,72,0,0,32,121,7,306,0.226164079822616,108529.99,67139.99,28350,0,7144.3,0,15064.5,35509,850,66106.99,16875.8,0.212172949002217,0.766935127649119,0.253968957871397,0.253968957871397,-0.0176940133037694,0.275847791257891,495656,323429,169
"170","Camino CDP",2002,2.25,34,34,0,1,0,0,1,3,0,32,0.147058823529412,2950,2950,0,0,200,0,200,550,0,2500,675,0.0388235294117647,0.454631150567087,0.105,0.105,-0.0661764705882353,0.277739955832706,172547,114223,170
"171","Camp Pendleton South CDP",2002,3.907,5,2,3,0,0,0,2,0,0,3,0.2,19050,1050,18000,0,0,0,1050,0,0,18000,50,-0.518,0.555625773340294,-0.662,-0.662,0.144,0.277272429209974,81649,13408,171
"172","Campbell city",2002,5.798,854,595,83,44,0,0,182,45,3,647,0.206088992974239,283487.05,120834.36,40133.81,0,13799.99,0,109146.11,15086,450,169126.49,76446.25,-0.358208430913349,0.811327454154937,-0.251814988290398,-0.251814988290398,-0.0162529274004684,0.284700968908019,796439,414607,172
"173","Campo CDP",2002,23.48,24,22,2,8,0,0,5,14,0,11,0.291666666666667,6000,5800,200,0,950,0,1700,2250,0,2650,1300,0.57125,0.841501311063589,0.48875,0.48875,0.0825,0.258494806944726,146103,58776,173
"174","Canby CDP",2002,2.268,1,1,0,0,0,0,0,0,0,1,0,37.5,37.5,0,0,0,0,0,0,0,37.5,0,2.41,NA,2.7,2.7,-0.29,NA,32839,22029,174
"175","Cantua Creek CDP",2002,3.797,3,1,0,0,0,0,0,2,0,1,0.666666666666667,2750,500,0,0,0,0,0,2250,0,500,2250,-0.156666666666667,0.698593825719447,0.633333333333333,0.633333333333333,-1.00666666666667,0.871798906476335,149165,79598,175
"176","Canyon Lake city",2002,3.928,201,181,0,23,0,0,6,27,0,178,0.154228855721393,16442.5,15956.5,0,0,1025,0,520.5,7680,0,8967.5,7975,-0.0496019900497513,0.937090092144839,0.0291542288557214,0.0291542288557214,-0.0506965174129353,0.192635698762745,331821,158057,176
"177","Canyondam CDP",2002,0.776,3,3,0,0,0,0,0,0,0,3,0,550,550,0,0,0,0,0,0,0,550,0,1.25333333333333,0.00577350269189626,1.19666666666667,1.19666666666667,0.0566666666666667,0.00577350269189626,5005,3387,177
"178","Capitola city",2002,1.593,325,205,31,17,0,5,104,58,2,182,0.344615384615385,260592.11,39951.48,17514.63,0,2215,1200,189017.12,37888,200,153413.11,113929,-0.332523076923077,0.826471995964751,-0.247784615384615,-0.247784615384615,-0.0528615384615385,0.431931631711472,391078,220045,178
"179","Carlsbad city",2002,37.722,2572,2166,211,183,2,2,316,437,10,1926,0.216174183514774,1202722.31,511138.56,487666.77,175,99349.47,2300,360190.23,239994.64,4300,665483.78,383737.52,0.0498405909797823,0.795491681063425,0.0598522550544323,0.0598522550544323,0.00191679626749611,0.328000110397857,1110021,471533,179
"180","Carmel Valley Village CDP",2002,18.983,203,199,2,11,0,0,56,27,3,141,0.211822660098522,47445.93,46120.93,1100,0,5300,0,18271,6550,601,30219.93,10550,-0.332709359605911,0.810264624455886,-0.234088669950739,-0.234088669950739,-0.0415270935960591,0.261938948757463,67704,45647,180
"181","Carmel-by-the-Sea city",2002,1.08,363,327,18,17,0,0,98,100,9,200,0.289256198347107,120686.23,91666,10560.23,0,4130,0,17030.5,59385,2350,49791.23,53088,0.095564738292011,1.06443842900373,0.106280991735537,0.106280991735537,0.0550413223140496,0.410606189723353,116865,79226,181
"182","Carmichael CDP",2002,13.528,1985,1843,58,228,2,2,334,461,14,1258,0.268010075566751,665500.08,572807.77,29674.76,1150,39602.94,250,271254.73,204597.74,3100,220243.36,267717.25,0.122942065491184,0.872488335933198,0.128408060453401,0.128408060453401,-0.0235869017632242,0.294930675680541,867508,355817,182
"183","Carnelian Bay CDP",2002,1.301,81,64,0,9,0,0,9,17,0,56,0.358024691358025,17430.7,9037.74,0,0,2700,0,3054.73,7038.73,0,7562.24,3587.15,0.067283950617284,0.625022024303302,0.123827160493827,0.123827160493827,-0.00876543209876543,0.201062071983065,44138,24581,183
"184","Carpinteria city",2002,2.586,209,170,20,2,0,0,46,37,9,132,0.267942583732057,96899.52,47562.52,45720,0,1025,0,14632.63,18201,17300,56303.39,15321.13,-0.047799043062201,0.914534842776877,-0.0104784688995215,-0.0104784688995215,-0.0746411483253588,0.362009602548242,215003,133276,184
"185","Carson city",2002,18.724,1481,975,245,58,39,0,282,142,2,1105,0.160027008777853,930397.54,290144.54,473277.51,1190,7533,0,286035.1,246004,1100,493574,285438.44,-0.310060769750169,0.689992506094603,-0.25033760972316,-0.25033760972316,-0.042862930452397,0.315001996105729,694321,230714,185
"186","Caruthers CDP",2002,2.023,40,16,21,0,0,0,2,6,0,35,0.05,14801.03,4340.1,9360.93,0,0,0,1500,2100,0,12551.03,1000,-0.1345,0.762976458957337,-0.194,-0.194,0.0595,0.396749291114679,240492,121802,186
